1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,result
0.011285324,0.004810138,0.008602747,0.0052264,0.001896305,0.033902225,0.088895056,0.695203737,0.116599602,0.033578465,3.80E-17
0.45941227,0.028646681,9.77E-04,0.226865142,0.002752212,0.015743837,0.003077743,0.105116747,0.04480483,0.112603948,2.06E-16
0.037179487,0.023076923,0.042307692,0.028205128,0.075641026,0.042307692,0.1,0.548717949,0.058974359,0.043589744,4.62E-13
0.00872093,0.004069767,0.006976744,0.029651163,0.009883721,0.011046512,0.061046512,0.265116279,0.589534884,0.013953488,1.07E-16
0.315593639,0.001941906,0.001480194,0.214682437,0.001901167,0.006586184,0.013389644,0.052024063,0.165387906,0.22701286,6.38E-17
0.011688312,0.008441558,0.005194805,0.017532468,0.020779221,0.105194805,0.065584416,0.669480519,0.086363636,0.00974026,7.26E-16
0.355705885,0.001503294,0.026838219,0.009815625,0.005703674,0.024052704,0.042843878,0.044170314,0.48238051,0.006985896,1.23E-16
0.234716464,0.041853462,0.006483073,0.300097752,0.011460545,0.006775205,0.067145313,0.054201638,0.024415456,0.252851092,3.33E-14
0.068976719,0.001678397,0.055982675,0.035841906,0.043367623,0.063508392,0.327016784,0.038548998,0.00292366,0.362154846,8.54E-15
0.068712978,7.00E-04,0.006462036,0.007431341,0.037856758,0.061443188,0.125094238,0.673559505,0.002100162,0.016639742,1.58E-17
0.001229592,0.00307398,0.003347223,0.001297903,0.002732427,0.001366214,0.226791448,0.675251042,0.08374889,0.001161282,9.13E-22
0.478411694,8.51E-04,0.001330861,0.269270208,0.001309043,7.64E-04,0.043002073,0.01228319,0.045925603,0.146852842,5.19E-19
0.015667998,0.001997337,0.003994674,0.017177097,0.534975588,0.013271194,0.189658233,0.084509543,0.02099423,0.117754106,6.04E-16
0.010898099,0.002983056,0.045740196,0.030307851,0.002704638,0.005807016,0.16530109,0.200421605,0.074377536,0.461458913,8.05E-16
0.002674954,0.012194642,0.033594272,0.011643916,0.01223398,0.047126392,0.076747571,0.633767358,0.169230164,7.87E-04,4.76E-17
0.082079469,0.001596757,0.001995947,0.720076153,0.002149481,0.001658171,0.001934533,0.017103728,0.068936928,0.102468833,1.57E-19
0.006065017,0.006307618,0.006065017,0.006792819,0.258127123,0.013100437,0.27147016,0.341824357,0.061377972,0.028869481,8.76E-16
0.510255904,0.008774652,6.49E-04,0.040148972,6.49E-04,0.036706825,0.056597918,0.062974353,0.211945941,0.071297576,1.50E-16
0.028693529,0.00976801,0.02991453,0.004884005,0.318681319,0.045177045,0.095238095,0.411477411,0.042124542,0.014041514,1.37E-14
0.221769285,0.009483369,0.041500354,0.274989384,0.001330502,0.012342534,0.056786978,0.141146497,0.041217268,0.199433829,2.60E-14
0.006769231,0.006769231,0.002769231,0.001846154,0.02,0.043692308,0.078461538,0.7,0.109538462,0.030153846,3.71E-17
0.006485374,0.004741032,0.004249038,0.008632257,0.001610162,0.018651042,0.262948385,0.478933715,0.14902943,0.064719563,4.11E-17
0.006504262,0.00141397,0.264735588,0.003070335,0.016159657,0.030097362,0.377085606,0.027188624,0.268452309,0.005292288,5.30E-17
0.002070393,0.002300437,0.039222452,0.002875546,0.031515988,0.025534852,0.520128824,0.267080745,0.104669887,0.004600874,2.89E-17
0.135438656,0.008106054,0.00130879,0.086591235,0.003293085,0.056742379,0.06062653,0.508950435,0.093684033,0.045258803,3.04E-15
0.002426471,0.005955882,0.01125,0.004705882,0.018970588,0.012058824,0.397647059,0.388823529,0.094705882,0.063455882,1.63E-16
0.10509807,0.015524498,0.002263162,0.232629238,0.011633447,0.0069086,0.089891209,0.230405781,0.118756452,0.186889542,3.17E-14
0.027459954,0.003718535,0.006292906,0.00715103,0.423340961,0.05520595,0.092677346,0.327803204,0.046910755,0.009439359,1.44E-15
0.040120044,0.002263992,0.013347023,0.172405623,0.004949192,0.007687043,0.053440741,0.017058916,0.113647133,0.575080293,4.74E-16
0.004585403,0.003056935,0.008342886,0.003247994,8.92E-04,0.001783212,0.113998217,0.665775061,0.12851866,0.069800025,4.11E-19
0.049074168,0.005565112,0.005329016,0.10448919,0.271813552,0.003271611,0.074437586,0.063206179,0.269486323,0.153327262,2.63E-14
0.045692275,0.00332179,0.011449572,0.030496855,0.310516644,0.003003746,0.290550569,0.118064881,0.081631211,0.105272457,1.46E-14
0.786851844,0.002328579,0.01197555,0.006653083,0.006362011,0.070730592,0.072892844,0.003118633,0.017464344,0.021622521,5.64E-18
0.006586323,0.006866592,0.0117713,0.003223094,0.002522422,0.076933857,0.076933857,0.55815583,0.057455157,0.19955157,1.64E-16
0.019383147,0.004643435,0.002896822,0.024750788,0.300886087,0.006858652,0.234812985,0.160858823,0.129334583,0.115574678,7.52E-15
0.484613141,0.001567855,0.001349085,0.160212937,0.011740684,0.00415664,0.054729089,0.109057099,0.083570335,0.089003136,3.56E-16
0.229906347,0.001826103,0.001408708,0.590222524,9.91E-04,5.48E-04,6.52E-04,0.013930556,0.074009339,0.0865051,1.10E-20
0.006686867,0.010448229,0.010657194,0.00365688,0.005119632,0.047225995,0.097690941,0.639118169,0.138647999,0.040748093,2.32E-16
0.014857728,0.007054465,0.026602034,0.017498227,0.033459447,0.026010877,0.093481517,0.379246473,0.234019075,0.167770158,5.91E-14
0.00885481,0.009266662,0.033687041,0.017733847,0.004736294,0.002083485,0.193776195,0.059330862,0.66265717,0.007873634,2.90E-17
0.003303192,7.43E-04,0.024361039,0.001527726,0.007432181,0.018208844,0.218258392,0.628803832,0.04376729,0.053594285,3.98E-18
0.006525127,0.003116478,0.001460849,0.001655629,0.098558629,0.0193806,0.167705493,0.291098559,0.398714453,0.011784184,2.15E-17
0.001102536,0.002788767,0.013035865,0.003048187,0.00655036,0.003307607,0.150269148,0.678254102,0.118425319,0.023218108,7.42E-19
0.341261175,0.002593326,0.004811301,0.085682113,0.024363612,0.006824541,0.158636457,0.081246161,0.154985327,0.139595987,1.69E-14
0.013215411,0.004981193,0.344363119,0.046508082,0.004625394,0.017078378,0.223950391,0.288756735,0.047677137,0.00884416,2.27E-15
0.0204617,0.011542497,0.034365163,0.006295908,0.145330535,0.116998951,0.044858342,0.376705142,0.198058762,0.045383001,1.32E-13
0.010630374,0.026034261,0.006195409,0.032466653,8.80E-04,0.009411605,0.05955041,0.357573295,0.320197711,0.177060058,5.57E-16
0.011801439,0.001217189,0.003281118,0.002011008,0.00338696,0.007567739,0.202317951,0.663050381,0.036991956,0.068374259,8.24E-19
0.009117657,0.007113065,0.001584274,0.370299719,0.003136215,0.015163762,0.075172169,0.009376313,0.121536422,0.387500404,6.01E-17
0.072464306,0.001891341,0.008047469,0.221472279,0.011014278,0.062599666,0.002670128,0.028184684,0.002521788,0.589134063,1.88E-17
0.011600136,0.005458888,0.010917776,0.00716479,0.004094166,0.024906175,0.090071648,0.55646537,0.269191402,0.020129649,1.37E-16
0.290841727,0.002122651,0.008529196,0.047971904,0.005132955,0.002740149,0.012427154,0.007911698,0.50322257,0.119099996,2.09E-17
0.039302694,3.87E-04,0.004402183,0.004014791,0.797041733,0.026096144,0.036133122,0.050783589,0.023771791,0.018066561,4.41E-18
0.010414639,0.005158653,0.016351956,0.003309325,0.224547401,0.04876387,0.317889819,0.250243333,0.079326455,0.043994549,8.84E-15
0.003942706,0.002545291,0.006937166,0.005639567,0.002295753,0.005739382,0.170833957,0.680041922,0.107251585,0.014772671,9.52E-19
0.057631842,0.00975418,0.002250965,0.028726597,0.581534944,0.013898814,0.082678291,0.09872088,0.068743747,0.05605974,9.24E-15
0.051530858,0.003857281,7.23E-04,0.040621986,0.570214561,0.015911283,0.109148987,0.035619576,0.06002893,0.112343298,1.39E-15
0.338053864,0.011285984,0.001453264,0.41402554,0.001886151,0.003957824,0.003926904,0.006184101,0.014006988,0.205219381,1.20E-18
0.086270905,0.011455645,0.005904607,0.428349185,0.00183856,0.010041368,0.020330234,0.083018067,0.104267581,0.248523848,2.02E-15
0.137763578,0.005282215,0.014142705,0.015122471,0.009073482,0.078040469,0.344920128,0.161320554,0.148370607,0.085963791,7.82E-14
0.011298855,0.011042063,0.010117611,0.042165271,0.004519542,0.027528119,0.566586205,0.150172051,0.008474141,0.168096143,8.03E-16
0.104544336,0.040152572,0.003445164,0.180378968,0.267287343,0.011524895,0.041424001,0.114838816,0.051103273,0.185300632,3.62E-13
9.44E-04,0.001960784,0.076034858,0.00442992,0.005591866,0.001089325,0.309440813,0.425054466,0.160493827,0.014960058,1.20E-18
